Game,Baseline score,Variant score,Winner
1,208,229,variant
2,202,228,variant
3,248,212,baseline
4,85,234,variant
5,101,220,variant
6,163,201,variant
7,169,229,variant
8,204,141,baseline
9,216,230,variant
10,188,229,variant
11,156,200,variant
12,204,175,baseline
13,218,160,baseline
14,191,214,variant
15,157,203,variant
16,191,231,variant
17,127,201,variant
18,161,255,variant
19,219,89,baseline
20,238,180,baseline
21,138,210,variant
22,192,215,variant
23,213,194,baseline
24,183,218,variant
25,106,217,variant
26,233,146,baseline
27,182,211,variant
28,154,221,variant
29,234,95,baseline
30,236,199,baseline
31,218,134,baseline
32,234,186,baseline
33,179,201,variant
34,113,245,variant
35,159,223,variant
36,235,166,baseline
37,165,210,variant
38,231,219,baseline
39,143,206,variant
40,208,175,baseline
41,208,201,baseline
42,219,114,baseline
43,215,200,baseline
44,205,201,baseline
45,105,212,variant
46,152,242,variant
47,116,212,variant
48,225,161,baseline
49,203,224,variant
50,202,132,baseline
51,102,205,variant
52,64,206,variant
53,226,73,baseline
54,114,222,variant
55,204,161,baseline
56,41,222,variant
57,169,200,variant
58,200,104,baseline
59,154,225,variant
60,116,211,variant
61,165,212,variant
62,169,202,variant
63,226,196,baseline
64,220,194,baseline
65,5,217,variant
66,120,207,variant
67,147,209,variant
68,193,206,variant
69,196,229,variant
70,58,210,variant
71,111,217,variant
72,194,206,variant
73,190,207,variant
74,220,85,baseline
75,177,203,variant
76,160,206,variant
77,131,203,variant
78,233,220,baseline
79,213,126,baseline
80,103,233,variant
81,133,200,variant
82,234,54,baseline
83,201,172,baseline
84,109,214,variant
85,208,188,baseline
86,107,243,variant
87,204,218,variant
88,40,220,variant
89,217,183,baseline
90,206,181,baseline
91,196,201,variant
92,214,53,baseline
93,207,0,baseline
94,161,201,variant
95,183,223,variant
96,189,244,variant
97,163,246,variant
98,202,41,baseline
99,135,205,variant
100,230,119,baseline
101,217,217,tie
102,132,208,variant
103,168,203,variant
104,63,204,variant
105,208,140,baseline
106,202,123,baseline
107,132,214,variant
108,226,163,baseline
109,186,209,variant
110,213,98,baseline
111,160,231,variant
112,225,107,baseline
113,166,202,variant
114,192,209,variant
115,156,229,variant
116,142,221,variant
117,236,182,baseline
118,172,221,variant
119,237,191,baseline
120,244,189,baseline
121,203,68,baseline
122,202,175,baseline
123,223,142,baseline
124,98,216,variant
125,149,226,variant
126,220,172,baseline
127,128,203,variant
128,74,228,variant
129,166,254,variant
130,213,148,baseline
131,201,106,baseline
132,148,231,variant
133,161,206,variant
134,227,32,baseline
135,175,211,variant
136,220,199,baseline
137,175,232,variant
138,156,225,variant
139,210,166,baseline
140,227,220,baseline
141,215,131,baseline
142,211,93,baseline
143,222,133,baseline
144,218,207,baseline
145,210,196,baseline
146,231,43,baseline
147,222,126,baseline
148,202,119,baseline
149,224,198,baseline
150,153,215,variant
151,169,227,variant
152,135,242,variant
153,131,206,variant
154,147,217,variant
155,195,205,variant
156,228,179,baseline
157,220,207,baseline
158,169,218,variant
159,233,165,baseline
160,225,76,baseline
161,139,238,variant
162,208,151,baseline
163,236,226,baseline
164,211,146,baseline
165,208,100,baseline
166,176,208,variant
167,205,167,baseline
168,135,233,variant
169,202,177,baseline
170,199,204,variant
171,166,208,variant
172,218,135,baseline
173,195,232,variant
174,145,205,variant
175,183,240,variant
176,119,217,variant
177,210,163,baseline
178,105,218,variant
179,204,193,baseline
180,218,159,baseline
181,87,225,variant
182,163,213,variant
183,52,204,variant
184,79,240,variant
185,227,226,baseline
186,71,221,variant
187,227,56,baseline
188,212,146,baseline
189,203,89,baseline
190,238,127,baseline
191,179,207,variant
192,187,202,variant
193,129,214,variant
194,140,250,variant
195,132,200,variant
196,197,213,variant
197,199,238,variant
198,234,160,baseline
199,125,208,variant
200,203,87,baseline
201,237,147,baseline
202,227,210,baseline
203,200,157,baseline
204,216,148,baseline
205,100,219,variant
206,139,205,variant
207,214,162,baseline
208,212,101,baseline
209,179,217,variant
210,222,145,baseline
211,230,119,baseline
212,174,202,variant
213,131,202,variant
214,191,239,variant
215,75,210,variant
216,237,195,baseline
217,176,208,variant
218,234,147,baseline
219,205,77,baseline
220,45,208,variant
221,210,196,baseline
222,196,222,variant
223,226,138,baseline
224,209,183,baseline
225,203,148,baseline
226,164,236,variant
227,167,216,variant
228,208,54,baseline
229,192,229,variant
230,226,201,baseline
231,146,203,variant
232,201,109,baseline
233,33,207,variant
234,214,40,baseline
235,231,172,baseline
236,211,57,baseline
237,222,159,baseline
238,157,227,variant
239,241,105,baseline
240,215,223,variant
241,211,161,baseline
242,233,74,baseline
243,228,113,baseline
244,95,235,variant
245,211,146,baseline
246,130,204,variant
247,63,221,variant
248,210,114,baseline
249,202,162,baseline
250,114,205,variant
251,262,230,baseline
252,216,129,baseline
253,208,66,baseline
254,218,128,baseline
255,213,106,baseline
256,125,215,variant
257,152,206,variant
258,225,160,baseline
259,200,157,baseline
260,142,218,variant
261,204,165,baseline
262,161,238,variant
263,221,107,baseline
264,188,211,variant
265,162,206,variant
266,137,211,variant
267,91,218,variant
268,165,245,variant
269,206,147,baseline
270,202,41,baseline
271,202,101,baseline
272,158,221,variant
273,209,142,baseline
274,216,87,baseline
275,228,188,baseline
276,237,113,baseline
277,224,116,baseline
278,225,136,baseline
279,188,202,variant
280,205,76,baseline
281,153,219,variant
282,196,226,variant
283,233,230,baseline
284,42,200,variant
285,26,208,variant
286,226,30,baseline
287,227,219,baseline
288,121,203,variant
289,205,90,baseline
290,128,216,variant
291,181,226,variant
292,174,240,variant
293,175,235,variant
294,190,208,variant
295,137,212,variant
296,150,219,variant
297,205,73,baseline
298,263,198,baseline
299,187,232,variant
300,82,202,variant
301,225,166,baseline
302,224,166,baseline
303,140,202,variant
304,75,218,variant
305,155,202,variant
306,202,119,baseline
307,172,219,variant
308,139,209,variant
309,225,167,baseline
310,124,218,variant
311,212,127,baseline
312,113,221,variant
313,162,206,variant
314,100,206,variant
315,170,224,variant
316,215,82,baseline
317,93,222,variant
318,234,150,baseline
319,211,101,baseline
320,144,212,variant
321,121,220,variant
322,217,225,variant
323,223,226,variant
324,181,238,variant
325,213,122,baseline
326,211,59,baseline
327,206,255,variant
328,193,214,variant
329,219,191,baseline
330,50,216,variant
331,202,219,variant
332,217,184,baseline
333,173,214,variant
334,203,175,baseline
335,214,191,baseline
336,226,112,baseline
337,209,82,baseline
338,61,228,variant
339,176,212,variant
340,179,238,variant
341,230,226,baseline
342,181,203,variant
343,181,219,variant
344,204,133,baseline
345,238,176,baseline
346,203,164,baseline
347,130,210,variant
348,201,176,baseline
349,205,159,baseline
350,216,104,baseline
351,66,243,variant
352,178,216,variant
353,164,203,variant
354,120,205,variant
355,48,227,variant
356,136,235,variant
357,159,213,variant
358,133,207,variant
359,92,210,variant
360,220,188,baseline
361,214,139,baseline
362,259,113,baseline
363,120,233,variant
364,160,205,variant
365,207,142,baseline
366,33,212,variant
367,221,121,baseline
368,215,184,baseline
369,214,132,baseline
370,223,177,baseline
371,218,152,baseline
372,228,140,baseline
373,214,160,baseline
374,235,115,baseline
375,118,233,variant
376,218,73,baseline
377,217,230,variant
378,159,201,variant
379,164,201,variant
380,207,149,baseline
381,217,157,baseline
382,218,189,baseline
383,183,200,variant
384,106,226,variant
385,162,234,variant
386,200,158,baseline
387,231,172,baseline
388,163,229,variant
389,197,218,variant
390,218,75,baseline
391,94,207,variant
392,154,263,variant
393,201,55,baseline
394,107,213,variant
395,164,213,variant
396,49,229,variant
397,188,204,variant
398,159,204,variant
399,134,224,variant
400,184,211,variant
401,172,204,variant
402,232,103,baseline
403,217,138,baseline
404,208,165,baseline
405,229,110,baseline
406,110,207,variant
407,213,153,baseline
408,222,153,baseline
409,200,64,baseline
410,241,220,baseline
411,235,167,baseline
412,156,210,variant
413,217,221,variant
414,225,154,baseline
415,217,176,baseline
416,213,70,baseline
417,109,236,variant
418,196,223,variant
419,203,188,baseline
420,146,235,variant
421,191,219,variant
422,208,170,baseline
423,155,241,variant
424,115,217,variant
425,196,212,variant
426,212,211,baseline
427,202,208,variant
428,238,113,baseline
429,201,219,variant
430,35,210,variant
431,67,204,variant
432,68,200,variant
433,94,235,variant
434,158,232,variant
435,152,224,variant
436,225,118,baseline
437,140,203,variant
438,146,233,variant
439,204,33,baseline
440,200,78,baseline
441,200,183,baseline
442,222,119,baseline
443,139,203,variant
444,240,127,baseline
445,229,184,baseline
446,200,175,baseline
447,201,112,baseline
448,222,105,baseline
449,229,174,baseline
450,172,226,variant
451,246,186,baseline
452,189,247,variant
453,219,174,baseline
454,221,172,baseline
455,212,156,baseline
456,205,158,baseline
457,219,176,baseline
458,190,212,variant
459,210,112,baseline
460,217,64,baseline
461,154,232,variant
462,231,154,baseline
463,196,236,variant
464,225,86,baseline
465,147,215,variant
466,229,138,baseline
467,255,219,baseline
468,55,209,variant
469,110,238,variant
470,203,176,baseline
471,85,243,variant
472,184,235,variant
473,225,197,baseline
474,149,236,variant
475,201,177,baseline
476,203,164,baseline
477,152,206,variant
478,209,202,baseline
479,92,209,variant
480,179,237,variant
481,234,180,baseline
482,115,227,variant
483,189,209,variant
484,235,135,baseline
485,206,124,baseline
486,113,203,variant
487,187,230,variant
488,214,172,baseline
489,163,217,variant
490,227,110,baseline
491,206,118,baseline
492,217,137,baseline
493,129,206,variant
494,211,168,baseline
495,116,227,variant
496,182,205,variant
497,218,101,baseline
498,203,184,baseline
499,105,242,variant
500,220,169,baseline
501,230,90,baseline
502,216,236,variant
503,142,220,variant
504,238,198,baseline
505,253,109,baseline
506,204,131,baseline
507,218,197,baseline
508,140,205,variant
509,155,209,variant
510,212,143,baseline
511,221,173,baseline
512,86,235,variant
513,186,245,variant
514,100,228,variant
515,232,154,baseline
516,127,214,variant
517,135,206,variant
518,178,209,variant
519,220,113,baseline
520,224,197,baseline
521,154,219,variant
522,212,191,baseline
523,173,237,variant
524,205,222,variant
525,234,49,baseline
526,218,160,baseline
527,200,147,baseline
528,218,182,baseline
529,115,213,variant
530,215,128,baseline
531,170,242,variant
532,134,200,variant
533,204,133,baseline
534,236,188,baseline
535,221,172,baseline
536,86,214,variant
537,217,170,baseline
538,209,232,variant
539,203,34,baseline
540,64,202,variant
541,219,264,variant
542,234,183,baseline
543,174,235,variant
544,239,181,baseline
545,200,236,variant
546,210,97,baseline
547,234,186,baseline
548,241,197,baseline
549,264,111,baseline
550,209,195,baseline
551,118,247,variant
552,54,224,variant
553,134,203,variant
554,210,199,baseline
555,220,189,baseline
556,154,239,variant
557,53,212,variant
558,213,77,baseline
559,179,213,variant
560,155,214,variant
561,206,112,baseline
562,180,213,variant
563,204,208,variant
564,222,162,baseline
565,214,163,baseline
566,84,217,variant
567,163,208,variant
568,210,171,baseline
569,220,122,baseline
570,202,163,baseline
571,71,200,variant
572,146,208,variant
573,182,202,variant
574,188,232,variant
575,210,83,baseline
576,188,214,variant
577,194,209,variant
578,100,208,variant
579,213,259,variant
580,153,216,variant
581,153,202,variant
582,223,176,baseline
583,63,204,variant
584,211,173,baseline
585,150,228,variant
586,208,191,baseline
587,204,148,baseline
588,194,220,variant
589,183,203,variant
590,177,220,variant
591,219,166,baseline
592,233,182,baseline
593,214,111,baseline
594,148,212,variant
595,233,173,baseline
596,220,121,baseline
597,242,171,baseline
598,218,165,baseline
599,208,218,variant
600,259,71,baseline
601,211,148,baseline
602,146,213,variant
603,117,211,variant
604,225,134,baseline
605,218,174,baseline
606,88,229,variant
607,208,132,baseline
608,219,221,variant
609,205,216,variant
610,204,71,baseline
611,64,206,variant
612,223,186,baseline
613,209,94,baseline
614,199,250,variant
615,216,37,baseline
616,95,200,variant
617,179,215,variant
618,133,223,variant
619,231,110,baseline
620,151,252,variant
621,181,200,variant
622,146,207,variant
623,205,158,baseline
624,206,72,baseline
625,206,171,baseline
626,211,160,baseline
627,217,126,baseline
628,89,211,variant
629,113,210,variant
630,110,227,variant
631,211,68,baseline
632,220,46,baseline
633,225,153,baseline
634,185,210,variant
635,160,210,variant
636,185,210,variant
637,177,213,variant
638,144,214,variant
639,203,168,baseline
640,227,120,baseline
641,145,224,variant
642,201,87,baseline
643,207,175,baseline
644,231,156,baseline
645,204,89,baseline
646,183,231,variant
647,213,132,baseline
648,177,217,variant
649,209,112,baseline
650,137,211,variant
651,220,233,variant
652,217,197,baseline
653,120,205,variant
654,207,86,baseline
655,235,167,baseline
656,261,180,baseline
657,202,12,baseline
658,222,189,baseline
659,201,100,baseline
660,214,121,baseline
661,161,228,variant
662,180,201,variant
663,167,224,variant
664,222,217,baseline
665,188,212,variant
666,206,149,baseline
667,209,132,baseline
668,36,204,variant
669,169,231,variant
670,147,234,variant
671,230,203,baseline
672,120,250,variant
673,214,135,baseline
674,234,181,baseline
675,126,220,variant
676,207,125,baseline
677,212,222,variant
678,208,131,baseline
679,112,201,variant
680,222,179,baseline
681,80,212,variant
682,201,97,baseline
683,208,101,baseline
684,157,238,variant
685,220,182,baseline
686,202,0,baseline
687,210,68,baseline
688,234,177,baseline
689,214,179,baseline
690,206,147,baseline
691,203,192,baseline
692,183,222,variant
693,151,241,variant
694,204,136,baseline
695,215,251,variant
696,201,120,baseline
697,235,185,baseline
698,156,211,variant
699,63,216,variant
700,146,219,variant
701,174,221,variant
702,225,107,baseline
703,210,178,baseline
704,105,233,variant
705,118,209,variant
706,208,141,baseline
707,229,0,baseline
708,70,218,variant
709,180,221,variant
710,213,187,baseline
711,206,204,baseline
712,151,227,variant
713,229,155,baseline
714,219,138,baseline
715,262,199,baseline
716,167,222,variant
717,162,216,variant
718,230,174,baseline
719,225,58,baseline
720,117,205,variant
721,107,238,variant
722,213,122,baseline
723,128,207,variant
724,179,215,variant
725,121,203,variant
726,136,213,variant
727,167,243,variant
728,105,228,variant
729,231,116,baseline
730,110,226,variant
731,232,162,baseline
732,211,74,baseline
733,224,169,baseline
734,215,46,baseline
735,0,218,variant
736,223,180,baseline
737,208,191,baseline
738,218,143,baseline
739,234,145,baseline
740,224,235,variant
741,220,106,baseline
742,103,202,variant
743,232,134,baseline
744,70,213,variant
745,195,241,variant
746,113,226,variant
747,133,210,variant
748,204,48,baseline
749,236,209,baseline
750,113,216,variant
751,210,191,baseline
752,150,218,variant
753,143,200,variant
754,158,209,variant
755,175,212,variant
756,140,207,variant
757,173,224,variant
758,207,99,baseline
759,231,162,baseline
760,101,206,variant
761,113,210,variant
762,237,162,baseline
763,119,213,variant
764,185,248,variant
765,216,189,baseline
766,209,205,baseline
767,206,60,baseline
768,54,275,variant
769,36,214,variant
770,234,170,baseline
771,88,227,variant
772,120,211,variant
773,153,239,variant
774,133,228,variant
775,229,232,variant
776,141,209,variant
777,230,129,baseline
778,120,228,variant
779,65,233,variant
780,163,212,variant
781,252,167,baseline
782,191,235,variant
783,115,217,variant
784,197,204,variant
785,223,143,baseline
786,158,206,variant
787,209,66,baseline
788,206,194,baseline
789,216,127,baseline
790,148,216,variant
791,82,212,variant
792,178,216,variant
793,200,64,baseline
794,207,187,baseline
795,73,235,variant
796,134,205,variant
797,108,238,variant
798,201,184,baseline
799,121,201,variant
800,206,108,baseline
801,137,207,variant
802,209,151,baseline
803,126,234,variant
804,224,193,baseline
805,175,203,variant
806,235,102,baseline
807,107,230,variant
808,224,123,baseline
809,207,178,baseline
810,161,227,variant
811,67,213,variant
812,196,229,variant
813,101,235,variant
814,196,226,variant
815,188,235,variant
816,226,155,baseline
817,189,215,variant
818,203,60,baseline
819,226,147,baseline
820,133,213,variant
821,108,238,variant
822,152,210,variant
823,235,118,baseline
824,211,135,baseline
825,238,106,baseline
826,175,231,variant
827,117,226,variant
828,95,207,variant
829,177,286,variant
830,226,72,baseline
831,215,180,baseline
832,111,203,variant
833,185,209,variant
834,235,102,baseline
835,209,191,baseline
836,220,165,baseline
837,216,194,baseline
838,217,228,variant
839,216,188,baseline
840,137,218,variant
841,173,266,variant
842,210,142,baseline
843,203,95,baseline
844,115,210,variant
845,202,79,baseline
846,153,219,variant
847,200,206,variant
848,122,225,variant
849,214,80,baseline
850,238,229,baseline
851,105,228,variant
852,175,227,variant
853,104,215,variant
854,209,157,baseline
855,210,146,baseline
856,228,184,baseline
857,105,201,variant
858,165,230,variant
859,84,218,variant
860,166,215,variant
861,167,225,variant
862,208,133,baseline
863,180,226,variant
864,199,214,variant
865,205,192,baseline
866,27,200,variant
867,206,92,baseline
868,175,204,variant
869,200,108,baseline
870,51,219,variant
871,200,211,variant
872,235,147,baseline
873,155,205,variant
874,203,180,baseline
875,207,98,baseline
876,209,155,baseline
877,238,148,baseline
878,122,216,variant
879,236,127,baseline
880,65,202,variant
881,233,158,baseline
882,81,242,variant
883,139,207,variant
884,156,211,variant
885,212,145,baseline
886,181,210,variant
887,139,212,variant
888,175,233,variant
889,115,224,variant
890,159,214,variant
891,122,229,variant
892,214,237,variant
893,264,114,baseline
894,184,224,variant
895,156,212,variant
896,79,242,variant
897,200,136,baseline
898,61,249,variant
899,231,142,baseline
900,221,155,baseline
901,106,213,variant
902,19,232,variant
903,240,238,baseline
904,102,246,variant
905,121,202,variant
906,211,121,baseline
907,241,277,variant
908,232,143,baseline
909,161,241,variant
910,147,228,variant
911,79,200,variant
912,208,196,baseline
913,147,215,variant
914,130,215,variant
915,207,237,variant
916,224,197,baseline
917,205,177,baseline
918,231,239,variant
919,61,216,variant
920,233,237,variant
921,121,230,variant
922,40,218,variant
923,218,155,baseline
924,213,140,baseline
925,131,221,variant
926,221,150,baseline
927,153,215,variant
928,223,186,baseline
929,208,138,baseline
930,225,164,baseline
931,143,204,variant
932,202,199,baseline
933,224,163,baseline
934,200,191,baseline
935,188,202,variant
936,214,180,baseline
937,232,231,baseline
938,96,244,variant
939,154,201,variant
940,184,206,variant
941,202,73,baseline
942,226,70,baseline
943,159,225,variant
944,168,210,variant
945,158,220,variant
946,186,223,variant
947,200,143,baseline
948,65,202,variant
949,6,203,variant
950,227,88,baseline
951,246,78,baseline
952,155,203,variant
953,113,202,variant
954,218,152,baseline
955,223,156,baseline
956,142,220,variant
957,179,228,variant
958,232,201,baseline
959,208,195,baseline
960,215,125,baseline
961,224,209,baseline
962,212,235,variant
963,211,99,baseline
964,40,223,variant
965,210,189,baseline
966,209,168,baseline
967,212,181,baseline
968,201,143,baseline
969,179,221,variant
970,166,235,variant
971,240,156,baseline
972,203,152,baseline
973,173,205,variant
974,129,229,variant
975,209,155,baseline
976,178,201,variant
977,233,205,baseline
978,185,222,variant
979,188,230,variant
980,142,203,variant
981,192,218,variant
982,206,181,baseline
983,80,214,variant
984,204,96,baseline
985,246,210,baseline
986,209,158,baseline
987,247,155,baseline
988,212,104,baseline
989,203,131,baseline
990,187,240,variant
991,174,213,variant
992,227,238,variant
993,142,204,variant
994,123,222,variant
995,141,216,variant
996,155,205,variant
997,221,92,baseline
998,123,201,variant
999,204,119,baseline
1000,225,110,baseline

Baseline wins:,474,Variant wins:,525,Ties:,1
