Game,Baseline score,Variant score,Winner
1,198,238,variant
2,116,200,variant
3,128,212,variant
4,236,188,baseline
5,156,221,variant
6,159,214,variant
7,220,91,baseline
8,155,202,variant
9,104,276,variant
10,248,177,baseline
11,136,207,variant
12,77,223,variant
13,228,209,baseline
14,108,201,variant
15,127,218,variant
16,242,170,baseline
17,201,223,variant
18,174,202,variant
19,196,239,variant
20,203,217,variant
21,132,212,variant
22,227,221,baseline
23,136,205,variant
24,189,202,variant
25,42,215,variant
26,181,222,variant
27,73,220,variant
28,225,91,baseline
29,205,107,baseline
30,205,217,variant
31,269,142,baseline
32,206,151,baseline
33,99,207,variant
34,211,221,variant
35,180,202,variant
36,244,150,baseline
37,194,225,variant
38,100,220,variant
39,111,202,variant
40,215,160,baseline
41,205,139,baseline
42,203,177,baseline
43,183,220,variant
44,48,252,variant
45,226,202,baseline
46,136,221,variant
47,125,216,variant
48,124,200,variant
49,231,224,baseline
50,65,210,variant
51,204,174,baseline
52,202,81,baseline
53,72,206,variant
54,201,72,baseline
55,219,155,baseline
56,156,221,variant
57,206,199,baseline
58,143,220,variant
59,94,200,variant
60,141,216,variant
61,96,222,variant
62,206,210,variant
63,118,206,variant
64,200,220,variant
65,120,225,variant
66,161,221,variant
67,222,221,baseline
68,174,213,variant
69,133,207,variant
70,224,225,variant
71,72,207,variant
72,211,186,baseline
73,72,218,variant
74,203,139,baseline
75,168,203,variant
76,78,207,variant
77,188,212,variant
78,202,198,baseline
79,196,282,variant
80,240,186,baseline
81,190,203,variant
82,34,203,variant
83,113,216,variant
84,201,118,baseline
85,166,201,variant
86,206,108,baseline
87,230,136,baseline
88,189,219,variant
89,205,126,baseline
90,177,222,variant
91,212,180,baseline
92,133,216,variant
93,184,227,variant
94,211,223,variant
95,140,213,variant
96,137,202,variant
97,200,170,baseline
98,205,88,baseline
99,187,233,variant
100,172,220,variant
101,219,169,baseline
102,169,205,variant
103,217,166,baseline
104,212,134,baseline
105,210,204,baseline
106,122,201,variant
107,161,211,variant
108,238,75,baseline
109,169,243,variant
110,176,213,variant
111,167,243,variant
112,245,134,baseline
113,175,212,variant
114,112,217,variant
115,125,220,variant
116,220,72,baseline
117,220,188,baseline
118,188,231,variant
119,150,211,variant
120,35,213,variant
121,220,200,baseline
122,231,123,baseline
123,149,219,variant
124,208,182,baseline
125,241,197,baseline
126,218,144,baseline
127,209,160,baseline
128,193,207,variant
129,139,226,variant
130,80,227,variant
131,170,207,variant
132,102,208,variant
133,236,199,baseline
134,112,211,variant
135,155,203,variant
136,163,212,variant
137,264,183,baseline
138,204,223,variant
139,126,215,variant
140,123,213,variant
141,107,214,variant
142,178,216,variant
143,131,209,variant
144,145,201,variant
145,133,204,variant
146,146,210,variant
147,246,181,baseline
148,208,160,baseline
149,116,200,variant
150,211,207,baseline
151,91,203,variant
152,97,212,variant
153,62,226,variant
154,131,219,variant
155,194,218,variant
156,90,226,variant
157,192,238,variant
158,116,220,variant
159,203,162,baseline
160,158,202,variant
161,144,216,variant
162,216,193,baseline
163,244,165,baseline
164,227,215,baseline
165,202,121,baseline
166,111,224,variant
167,235,191,baseline
168,181,209,variant
169,85,276,variant
170,224,180,baseline
171,94,231,variant
172,235,222,baseline
173,78,202,variant
174,200,210,variant
175,152,218,variant
176,180,209,variant
177,191,220,variant
178,145,211,variant
179,83,210,variant
180,221,76,baseline
181,135,207,variant
182,211,112,baseline
183,90,203,variant
184,156,220,variant
185,212,159,baseline
186,121,222,variant
187,173,200,variant
188,147,206,variant
189,190,201,variant
190,113,203,variant
191,220,109,baseline
192,127,213,variant
193,65,206,variant
194,230,155,baseline
195,111,214,variant
196,238,165,baseline
197,84,207,variant
198,201,173,baseline
199,213,101,baseline
200,140,208,variant
201,240,99,baseline
202,224,133,baseline
203,226,116,baseline
204,228,173,baseline
205,174,222,variant
206,189,218,variant
207,214,80,baseline
208,227,150,baseline
209,139,219,variant
210,161,202,variant
211,99,227,variant
212,214,125,baseline
213,76,215,variant
214,211,62,baseline
215,190,206,variant
216,210,105,baseline
217,214,190,baseline
218,228,177,baseline
219,139,214,variant
220,235,225,baseline
221,174,223,variant
222,150,204,variant
223,168,214,variant
224,178,223,variant
225,212,194,baseline
226,144,272,variant
227,73,203,variant
228,152,207,variant
229,153,226,variant
230,209,226,variant
231,233,220,baseline
232,160,213,variant
233,167,213,variant
234,203,159,baseline
235,213,191,baseline
236,193,228,variant
237,144,201,variant
238,209,158,baseline
239,144,211,variant
240,166,222,variant
241,86,216,variant
242,12,217,variant
243,75,200,variant
244,188,253,variant
245,171,212,variant
246,176,202,variant
247,206,80,baseline
248,212,141,baseline
249,195,210,variant
250,157,205,variant
251,199,201,variant
252,146,248,variant
253,203,230,variant
254,191,223,variant
255,209,115,baseline
256,86,209,variant
257,200,173,baseline
258,159,220,variant
259,148,209,variant
260,182,222,variant
261,202,187,baseline
262,192,211,variant
263,112,206,variant
264,139,217,variant
265,43,222,variant
266,228,215,baseline
267,101,222,variant
268,131,214,variant
269,181,222,variant
270,211,146,baseline
271,205,132,baseline
272,155,227,variant
273,113,201,variant
274,177,228,variant
275,226,211,baseline
276,170,227,variant
277,223,84,baseline
278,153,230,variant
279,206,198,baseline
280,212,206,baseline
281,80,214,variant
282,177,220,variant
283,234,104,baseline
284,201,224,variant
285,222,210,baseline
286,91,244,variant
287,202,134,baseline
288,223,190,baseline
289,105,204,variant
290,203,197,baseline
291,151,225,variant
292,189,201,variant
293,137,202,variant
294,103,205,variant
295,70,240,variant
296,73,205,variant
297,213,196,baseline
298,156,213,variant
299,203,192,baseline
300,157,207,variant
301,178,211,variant
302,101,237,variant
303,215,152,baseline
304,160,201,variant
305,152,231,variant
306,225,87,baseline
307,102,246,variant
308,215,186,baseline
309,170,205,variant
310,200,228,variant
311,163,219,variant
312,119,215,variant
313,76,206,variant
314,192,201,variant
315,142,210,variant
316,129,221,variant
317,176,200,variant
318,213,145,baseline
319,144,225,variant
320,154,218,variant
321,91,219,variant
322,214,195,baseline
323,167,232,variant
324,147,220,variant
325,122,208,variant
326,235,136,baseline
327,53,208,variant
328,223,99,baseline
329,166,212,variant
330,147,223,variant
331,65,212,variant
332,207,173,baseline
333,134,223,variant
334,199,210,variant
335,172,200,variant
336,185,227,variant
337,123,204,variant
338,216,131,baseline
339,181,224,variant
340,142,202,variant
341,208,196,baseline
342,117,220,variant
343,206,154,baseline
344,107,203,variant
345,197,220,variant
346,189,212,variant
347,221,177,baseline
348,143,219,variant
349,224,177,baseline
350,245,97,baseline
351,128,208,variant
352,224,191,baseline
353,187,222,variant
354,120,225,variant
355,220,182,baseline
356,127,235,variant
357,184,300,variant
358,201,116,baseline
359,193,206,variant
360,46,224,variant
361,232,210,baseline
362,195,220,variant
363,45,203,variant
364,201,221,variant
365,171,214,variant
366,233,169,baseline
367,205,143,baseline
368,132,230,variant
369,212,220,variant
370,222,209,baseline
371,107,205,variant
372,176,200,variant
373,96,205,variant
374,215,201,baseline
375,234,194,baseline
376,207,171,baseline
377,224,187,baseline
378,145,207,variant
379,204,106,baseline
380,200,84,baseline
381,136,226,variant
382,204,215,variant
383,160,205,variant
384,236,105,baseline
385,138,216,variant
386,76,220,variant
387,103,225,variant
388,216,146,baseline
389,63,200,variant
390,115,203,variant
391,139,214,variant
392,113,225,variant
393,37,213,variant
394,79,205,variant
395,80,229,variant
396,229,53,baseline
397,210,160,baseline
398,217,128,baseline
399,210,128,baseline
400,201,207,variant
401,75,222,variant
402,68,223,variant
403,128,254,variant
404,140,212,variant
405,142,206,variant
406,179,217,variant
407,163,221,variant
408,98,229,variant
409,135,203,variant
410,118,207,variant
411,223,222,baseline
412,100,201,variant
413,175,217,variant
414,151,204,variant
415,198,208,variant
416,208,168,baseline
417,101,202,variant
418,100,209,variant
419,208,91,baseline
420,215,148,baseline
421,114,200,variant
422,86,209,variant
423,201,179,baseline
424,218,139,baseline
425,141,202,variant
426,40,221,variant
427,228,199,baseline
428,231,105,baseline
429,172,208,variant
430,149,203,variant
431,136,212,variant
432,101,204,variant
433,89,217,variant
434,224,210,baseline
435,216,90,baseline
436,205,184,baseline
437,168,223,variant
438,233,210,baseline
439,109,218,variant
440,119,206,variant
441,229,215,baseline
442,107,205,variant
443,221,106,baseline
444,182,200,variant
445,233,118,baseline
446,225,168,baseline
447,214,213,baseline
448,213,204,baseline
449,136,201,variant
450,111,215,variant
451,165,210,variant
452,126,247,variant
453,218,224,variant
454,216,205,baseline
455,163,210,variant
456,130,226,variant
457,230,147,baseline
458,207,200,baseline
459,169,201,variant
460,218,194,baseline
461,191,209,variant
462,72,225,variant
463,158,206,variant
464,121,220,variant
465,76,224,variant
466,186,205,variant
467,203,185,baseline
468,109,206,variant
469,139,220,variant
470,204,196,baseline
471,227,126,baseline
472,227,194,baseline
473,78,214,variant
474,201,83,baseline
475,214,106,baseline
476,214,219,variant
477,230,221,baseline
478,200,205,variant
479,123,203,variant
480,225,122,baseline
481,215,107,baseline
482,208,216,variant
483,187,207,variant
484,223,102,baseline
485,171,218,variant
486,206,199,baseline
487,58,219,variant
488,132,201,variant
489,140,257,variant
490,216,183,baseline
491,128,223,variant
492,212,135,baseline
493,205,187,baseline
494,249,117,baseline
495,98,205,variant
496,215,272,variant
497,203,166,baseline
498,219,197,baseline
499,155,220,variant
500,203,145,baseline
501,209,177,baseline
502,184,203,variant
503,190,204,variant
504,72,211,variant
505,271,171,baseline
506,236,165,baseline
507,227,188,baseline
508,200,140,baseline
509,153,214,variant
510,127,227,variant
511,167,204,variant
512,92,220,variant
513,216,121,baseline
514,131,203,variant
515,221,144,baseline
516,81,211,variant
517,226,125,baseline
518,99,205,variant
519,156,220,variant
520,153,215,variant
521,110,221,variant
522,202,186,baseline
523,193,217,variant
524,188,205,variant
525,224,146,baseline
526,203,219,variant
527,159,200,variant
528,166,219,variant
529,87,222,variant
530,152,220,variant
531,133,220,variant
532,214,165,baseline
533,202,105,baseline
534,233,192,baseline
535,213,218,variant
536,86,212,variant
537,98,211,variant
538,158,214,variant
539,186,211,variant
540,149,212,variant
541,219,176,baseline
542,205,164,baseline
543,179,224,variant
544,238,107,baseline
545,159,215,variant
546,186,300,variant
547,143,210,variant
548,81,246,variant
549,126,213,variant
550,9,216,variant
551,153,208,variant
552,211,195,baseline
553,129,209,variant
554,200,189,baseline
555,201,218,variant
556,148,218,variant
557,119,208,variant
558,176,227,variant
559,159,225,variant
560,194,220,variant
561,235,222,baseline
562,91,210,variant
563,156,217,variant
564,152,221,variant
565,134,204,variant
566,123,202,variant
567,159,205,variant
568,227,186,baseline
569,181,206,variant
570,178,224,variant
571,187,224,variant
572,176,217,variant
573,202,180,baseline
574,232,224,baseline
575,161,226,variant
576,195,212,variant
577,183,221,variant
578,211,100,baseline
579,100,236,variant
580,214,82,baseline
581,137,205,variant
582,191,211,variant
583,122,211,variant
584,204,141,baseline
585,190,225,variant
586,213,170,baseline
587,78,202,variant
588,218,212,baseline
589,143,226,variant
590,196,220,variant
591,180,219,variant
592,226,219,baseline
593,201,137,baseline
594,40,202,variant
595,168,209,variant
596,198,241,variant
597,81,224,variant
598,74,201,variant
599,216,142,baseline
600,108,237,variant
601,75,208,variant
602,208,164,baseline
603,178,226,variant
604,149,202,variant
605,104,209,variant
606,105,234,variant
607,208,115,baseline
608,163,206,variant
609,219,210,baseline
610,230,178,baseline
611,202,177,baseline
612,168,217,variant
613,177,225,variant
614,75,225,variant
615,221,276,variant
616,119,218,variant
617,126,201,variant
618,173,206,variant
619,177,205,variant
620,83,204,variant
621,205,198,baseline
622,213,171,baseline
623,101,217,variant
624,188,200,variant
625,184,203,variant
626,180,209,variant
627,256,149,baseline
628,138,224,variant
629,196,215,variant
630,187,221,variant
631,216,220,variant
632,253,134,baseline
633,203,100,baseline
634,219,194,baseline
635,174,202,variant
636,208,155,baseline
637,202,116,baseline
638,93,203,variant
639,206,159,baseline
640,211,164,baseline
641,96,222,variant
642,207,200,baseline
643,47,203,variant
644,205,219,variant
645,166,201,variant
646,146,200,variant
647,94,206,variant
648,224,199,baseline
649,215,211,baseline
650,125,210,variant
651,190,219,variant
652,187,209,variant
653,216,175,baseline
654,195,208,variant
655,121,224,variant
656,156,206,variant
657,152,220,variant
658,89,203,variant
659,132,201,variant
660,52,203,variant
661,132,236,variant
662,151,213,variant
663,165,205,variant
664,163,221,variant
665,225,205,baseline
666,235,181,baseline
667,210,221,variant
668,120,220,variant
669,147,212,variant
670,201,230,variant
671,197,211,variant
672,179,214,variant
673,225,209,baseline
674,79,209,variant
675,100,202,variant
676,235,143,baseline
677,221,146,baseline
678,224,197,baseline
679,105,222,variant
680,211,216,variant
681,135,222,variant
682,225,230,variant
683,83,214,variant
684,85,229,variant
685,177,223,variant
686,219,188,baseline
687,195,224,variant
688,100,202,variant
689,234,219,baseline
690,242,113,baseline
