Game,Baseline score,Variant score,Winner
1,219,128,baseline
2,220,197,baseline
3,217,92,baseline
4,139,215,variant
5,209,129,baseline
6,227,132,baseline
7,201,179,baseline
8,105,218,variant
9,95,227,variant
10,92,205,variant
11,197,206,variant
12,217,104,baseline
13,224,60,baseline
14,147,222,variant
15,146,208,variant
16,215,83,baseline
17,97,204,variant
18,147,216,variant
19,157,230,variant
20,214,135,baseline
21,210,198,baseline
22,183,205,variant
23,151,205,variant
24,218,166,baseline
25,206,219,variant
26,187,212,variant
27,155,217,variant
28,133,200,variant
29,219,193,baseline
30,206,113,baseline
31,240,193,baseline
32,202,147,baseline
33,229,103,baseline
34,170,233,variant
35,186,214,variant
36,113,208,variant
37,134,206,variant
38,224,186,baseline
39,70,201,variant
40,206,46,baseline
41,109,215,variant
42,128,219,variant
43,210,68,baseline
44,193,205,variant
45,205,214,variant
46,149,234,variant
47,125,212,variant
48,210,109,baseline
49,140,240,variant
50,137,213,variant
51,189,206,variant
52,221,149,baseline
53,214,203,baseline
54,212,206,baseline
55,241,184,baseline
56,229,145,baseline
57,212,204,baseline
58,218,157,baseline
59,103,200,variant
60,146,226,variant
61,202,225,variant
62,202,140,baseline
63,211,116,baseline
64,166,218,variant
65,92,210,variant
66,129,218,variant
67,177,215,variant
68,237,162,baseline
69,207,97,baseline
70,203,151,baseline
71,235,174,baseline
72,237,199,baseline
73,201,108,baseline
74,82,205,variant
75,140,224,variant
76,224,144,baseline
77,219,174,baseline
78,184,232,variant
79,115,228,variant
80,228,232,variant
81,127,242,variant
82,118,224,variant
83,209,137,baseline
84,230,179,baseline
85,74,213,variant
86,207,115,baseline
87,212,82,baseline
88,141,214,variant
89,111,226,variant
90,158,226,variant
91,187,232,variant
92,94,222,variant
93,210,79,baseline
94,98,208,variant
95,200,201,variant
96,225,122,baseline
97,182,208,variant
98,180,205,variant
99,149,202,variant
100,140,203,variant
101,225,132,baseline
102,202,124,baseline
103,124,207,variant
104,228,71,baseline
105,173,214,variant
106,224,106,baseline
107,231,136,baseline
108,219,179,baseline
109,153,210,variant
110,206,158,baseline
111,194,214,variant
112,122,223,variant
113,157,227,variant
114,190,236,variant
115,207,185,baseline
116,153,203,variant
117,194,223,variant
118,222,142,baseline
119,193,220,variant
120,234,42,baseline
121,210,165,baseline
122,80,223,variant
123,156,204,variant
124,231,80,baseline
125,205,134,baseline
126,219,124,baseline
127,209,174,baseline
128,94,216,variant
129,221,161,baseline
130,177,208,variant
131,154,223,variant
132,143,234,variant
133,224,170,baseline
134,202,137,baseline
135,179,226,variant
136,210,116,baseline
137,212,205,baseline
138,219,158,baseline
139,236,164,baseline
140,52,220,variant
141,181,221,variant
142,208,119,baseline
143,189,221,variant
144,200,180,baseline
145,167,214,variant
146,209,198,baseline
147,206,118,baseline
148,218,198,baseline
149,205,42,baseline
150,211,142,baseline
151,223,170,baseline
152,221,175,baseline
153,170,216,variant
154,203,174,baseline
155,102,210,variant
156,144,204,variant
157,227,144,baseline
158,195,201,variant
159,124,231,variant
160,145,212,variant
161,125,201,variant
162,98,220,variant
163,208,108,baseline
164,219,148,baseline
165,237,98,baseline
166,219,194,baseline
167,217,202,baseline
168,135,212,variant
169,202,198,baseline
170,123,209,variant
171,213,129,baseline
172,161,217,variant
173,188,208,variant
174,195,211,variant
175,220,199,baseline
176,216,182,baseline
177,202,147,baseline
178,215,104,baseline
179,175,211,variant
180,228,203,baseline
181,108,209,variant
182,175,212,variant
183,216,152,baseline
184,235,174,baseline
185,236,192,baseline
186,203,125,baseline
187,180,219,variant
188,211,185,baseline
189,153,218,variant
190,95,211,variant
191,192,201,variant
192,170,237,variant
193,218,115,baseline
194,205,220,variant
195,215,133,baseline
196,232,159,baseline
197,207,222,variant
198,135,205,variant
199,37,232,variant
200,176,205,variant
201,182,202,variant
202,201,75,baseline
203,222,147,baseline
204,116,223,variant
205,152,203,variant
206,200,241,variant
207,196,216,variant
208,223,204,baseline
209,227,78,baseline
210,206,162,baseline
211,203,172,baseline
212,173,246,variant
213,181,210,variant
214,213,146,baseline
215,19,252,variant
216,218,151,baseline
217,187,222,variant
218,225,66,baseline
219,209,179,baseline
220,218,141,baseline
221,223,92,baseline
222,213,119,baseline
223,229,111,baseline
224,213,151,baseline
225,113,218,variant
226,202,150,baseline
227,149,206,variant
228,70,227,variant
229,248,121,baseline
230,206,127,baseline
231,93,225,variant
232,123,204,variant
233,200,183,baseline
234,188,205,variant
235,101,217,variant
236,137,232,variant
237,172,230,variant
238,203,87,baseline
239,181,217,variant
240,71,229,variant
241,211,186,baseline
242,221,182,baseline
243,99,222,variant
244,220,157,baseline
245,228,171,baseline
246,202,229,variant
247,217,173,baseline
248,212,185,baseline
249,140,223,variant
250,197,219,variant
251,54,206,variant
252,218,116,baseline
253,66,213,variant
254,128,230,variant
255,199,207,variant
256,41,216,variant
257,227,211,baseline
258,198,214,variant
259,135,230,variant
260,196,230,variant
261,80,221,variant
262,237,151,baseline
263,233,194,baseline
264,214,159,baseline
265,230,166,baseline
266,152,206,variant
267,158,200,variant
268,215,126,baseline
269,218,157,baseline
270,37,223,variant
271,129,217,variant
272,241,193,baseline
273,237,59,baseline
274,196,212,variant
275,135,222,variant
276,245,167,baseline
277,209,188,baseline
278,169,230,variant
279,221,181,baseline
280,221,100,baseline
281,204,110,baseline
282,241,178,baseline
283,205,172,baseline
284,257,182,baseline
285,216,155,baseline
286,183,212,variant
287,93,227,variant
288,216,98,baseline
289,217,135,baseline
290,215,244,variant
291,221,223,variant
292,167,231,variant
293,224,165,baseline
294,196,204,variant
295,131,202,variant
296,170,224,variant
297,230,127,baseline
298,221,179,baseline
299,209,147,baseline
300,186,210,variant
301,230,151,baseline
302,176,226,variant
303,222,82,baseline
304,226,196,baseline
305,230,113,baseline
306,206,165,baseline
307,152,213,variant
308,156,214,variant
309,213,184,baseline
310,243,196,baseline
311,210,233,variant
312,83,231,variant
313,97,219,variant
314,225,140,baseline
315,210,126,baseline
316,206,102,baseline
317,222,112,baseline
318,234,196,baseline
319,218,244,variant
320,224,159,baseline
321,205,131,baseline
322,219,225,variant
323,225,197,baseline
324,170,204,variant
325,201,150,baseline
326,229,123,baseline
327,125,200,variant
328,87,207,variant
329,217,122,baseline
330,123,233,variant
331,236,105,baseline
332,200,117,baseline
333,172,215,variant
334,204,149,baseline
335,227,182,baseline
336,202,102,baseline
337,214,210,baseline
338,181,216,variant
339,140,225,variant
340,208,178,baseline
341,221,157,baseline
342,213,128,baseline
343,205,141,baseline
344,234,145,baseline
345,218,180,baseline
346,221,203,baseline
347,202,147,baseline
348,232,97,baseline
349,154,220,variant
350,228,143,baseline
351,213,188,baseline
352,230,37,baseline
353,225,149,baseline
354,131,225,variant
355,231,143,baseline
356,180,221,variant
357,108,219,variant
358,215,123,baseline
359,199,210,variant
360,167,210,variant
361,191,200,variant
362,200,177,baseline
363,197,210,variant
364,211,161,baseline
365,163,231,variant
366,222,206,baseline
367,145,230,variant
368,56,227,variant
369,208,85,baseline
370,183,225,variant
371,87,207,variant
372,212,166,baseline
373,223,211,baseline
374,147,206,variant
375,228,226,baseline
376,219,182,baseline
377,206,124,baseline
378,121,225,variant
379,211,202,baseline
380,209,177,baseline
381,208,88,baseline
382,89,232,variant
383,218,158,baseline
384,228,177,baseline
385,231,231,tie
386,201,102,baseline
387,100,220,variant
388,186,228,variant
389,79,216,variant
390,217,73,baseline
391,231,132,baseline
392,226,193,baseline
393,109,201,variant
394,139,235,variant
395,94,208,variant
396,194,207,variant
397,77,202,variant
398,210,236,variant
399,194,222,variant
400,227,185,baseline
401,198,200,variant
402,181,223,variant
403,82,223,variant
404,233,118,baseline
405,204,94,baseline
406,46,218,variant
407,209,109,baseline
408,208,192,baseline
409,209,118,baseline
410,214,181,baseline
411,162,217,variant
412,215,191,baseline
413,212,101,baseline
414,202,75,baseline
415,224,201,baseline
416,132,221,variant
417,214,194,baseline
418,223,137,baseline
419,126,229,variant
420,110,215,variant
421,200,198,baseline
422,201,245,variant
423,206,218,variant
424,209,126,baseline
425,218,190,baseline
426,202,124,baseline
427,44,202,variant
428,57,204,variant
429,221,161,baseline
430,200,205,variant
431,179,205,variant
432,132,234,variant
433,236,181,baseline
434,173,215,variant
435,204,195,baseline
436,212,199,baseline
437,162,231,variant
438,227,111,baseline
439,205,114,baseline
440,208,208,tie
441,210,78,baseline
442,224,171,baseline
443,78,205,variant
444,176,201,variant
445,167,230,variant
446,132,242,variant
447,107,200,variant
448,136,232,variant
449,224,96,baseline
450,200,215,variant
451,103,208,variant
452,225,184,baseline
453,216,100,baseline
454,209,165,baseline
455,229,93,baseline
456,239,162,baseline
457,154,203,variant
458,207,138,baseline
459,236,173,baseline
460,219,200,baseline
461,224,182,baseline
462,212,157,baseline
463,226,190,baseline
464,201,113,baseline
465,235,195,baseline
466,120,225,variant
467,217,189,baseline
468,123,207,variant
469,168,209,variant
470,157,205,variant
471,226,198,baseline
472,114,237,variant
473,236,173,baseline
474,46,204,variant
475,211,207,baseline
476,179,200,variant
477,142,205,variant
478,66,210,variant
479,202,184,baseline
480,137,234,variant
481,162,217,variant
482,210,139,baseline
483,177,206,variant
484,235,114,baseline
485,171,223,variant
486,215,124,baseline
487,206,185,baseline
488,231,234,variant
489,190,211,variant
490,175,207,variant
491,206,140,baseline
492,215,177,baseline
493,210,72,baseline
494,213,164,baseline
495,133,201,variant
496,242,132,baseline
497,241,197,baseline
498,231,198,baseline
499,201,193,baseline
500,51,204,variant
501,98,200,variant
502,176,217,variant
503,216,153,baseline
504,68,223,variant
505,205,138,baseline
506,206,120,baseline
507,175,229,variant
508,247,178,baseline
509,142,209,variant
510,227,193,baseline
511,0,206,variant
512,229,184,baseline
513,79,202,variant
514,233,92,baseline
515,259,125,baseline
516,233,162,baseline
517,228,31,baseline
518,200,213,variant
519,222,171,baseline
520,226,101,baseline
521,136,205,variant
522,126,225,variant
523,106,205,variant
524,123,233,variant
525,89,206,variant
526,208,146,baseline
527,204,221,variant
528,215,178,baseline
529,216,138,baseline
530,167,228,variant
531,207,209,variant
532,207,238,variant
533,123,218,variant
534,216,150,baseline
535,228,179,baseline
536,226,83,baseline
