Game,Baseline score,Variant score,Winner
1,192,233,variant
2,138,205,variant
3,226,209,baseline
4,141,200,variant
5,210,116,baseline
6,156,232,variant
7,219,193,baseline
8,197,223,variant
9,223,130,baseline
10,222,138,baseline
11,86,227,variant
12,170,226,variant
13,200,78,baseline
14,205,133,baseline
15,209,185,baseline
16,169,213,variant
17,143,203,variant
18,206,118,baseline
19,239,233,baseline
20,210,160,baseline
21,211,102,baseline
22,209,110,baseline
23,198,203,variant
24,130,223,variant
25,187,209,variant
26,182,209,variant
27,105,219,variant
28,230,129,baseline
29,229,190,baseline
30,217,138,baseline
31,185,211,variant
32,201,164,baseline
33,216,201,baseline
34,149,209,variant
35,211,133,baseline
36,155,216,variant
37,165,235,variant
38,202,70,baseline
39,204,0,baseline
40,115,242,variant
41,163,247,variant
42,216,157,baseline
43,231,151,baseline
44,235,167,baseline
45,172,201,variant
46,209,151,baseline
47,213,166,baseline
48,261,71,baseline
49,143,231,variant
50,201,84,baseline
51,95,240,variant
52,220,122,baseline
53,227,179,baseline
54,145,220,variant
55,228,166,baseline
56,137,202,variant
57,115,235,variant
58,193,200,variant
59,89,215,variant
60,219,108,baseline
61,117,205,variant
62,224,101,baseline
63,226,134,baseline
64,205,187,baseline
65,202,105,baseline
66,260,172,baseline
67,73,201,variant
68,202,106,baseline
69,203,89,baseline
70,232,176,baseline
71,206,122,baseline
72,203,197,baseline
73,144,200,variant
74,78,224,variant
75,222,98,baseline
76,170,222,variant
77,155,225,variant
78,223,54,baseline
79,130,217,variant
80,149,234,variant
81,186,203,variant
82,238,139,baseline
83,166,233,variant
84,205,158,baseline
85,193,234,variant
86,218,107,baseline
87,212,65,baseline
88,87,215,variant
89,200,206,variant
90,201,168,baseline
91,129,203,variant
92,187,200,variant
93,113,204,variant
94,58,234,variant
95,209,211,variant
96,195,230,variant
97,143,209,variant
98,226,124,baseline
99,60,206,variant
100,209,196,baseline
101,206,163,baseline
102,235,88,baseline
103,202,191,baseline
104,228,83,baseline
105,203,149,baseline
106,47,239,variant
107,234,105,baseline
108,231,106,baseline
109,120,207,variant
110,222,71,baseline
111,205,108,baseline
112,224,208,baseline
113,160,214,variant
114,215,79,baseline
115,217,237,variant
116,216,179,baseline
117,215,128,baseline
118,47,208,variant
119,221,78,baseline
120,204,127,baseline
121,160,202,variant
122,210,90,baseline
123,151,222,variant
124,136,218,variant
125,116,223,variant
126,165,210,variant
127,257,98,baseline
128,218,238,variant
129,126,209,variant
130,205,123,baseline
131,229,166,baseline
132,184,204,variant
133,122,203,variant
134,215,60,baseline
135,220,178,baseline
136,140,223,variant
137,220,128,baseline
138,207,94,baseline
139,229,19,baseline
140,209,76,baseline
141,204,67,baseline
142,228,198,baseline
143,100,230,variant
144,178,235,variant
145,151,205,variant
146,215,130,baseline
147,204,197,baseline
148,179,235,variant
