Game,Baseline score,Variant score,Winner
1,167,220,variant
2,138,221,variant
3,200,196,baseline
4,206,193,baseline
5,214,140,baseline
6,152,201,variant
7,235,156,baseline
8,184,224,variant
9,208,192,baseline
10,229,192,baseline
11,72,237,variant
12,177,204,variant
13,234,166,baseline
14,150,216,variant
15,212,175,baseline
16,212,125,baseline
17,205,168,baseline
18,171,209,variant
19,203,144,baseline
20,200,56,baseline
21,202,156,baseline
22,215,193,baseline
23,213,221,variant
24,148,223,variant
25,125,216,variant
26,135,237,variant
27,208,199,baseline
28,223,147,baseline
29,171,203,variant
30,179,214,variant
31,194,219,variant
32,228,150,baseline
33,205,226,variant
34,219,211,baseline
35,35,202,variant
36,210,146,baseline
37,184,227,variant
38,215,155,baseline
39,207,126,baseline
40,152,208,variant
41,201,81,baseline
42,128,207,variant
43,129,234,variant
44,109,209,variant
45,176,212,variant
46,128,210,variant
47,188,206,variant
48,220,199,baseline
49,150,203,variant
50,174,214,variant
51,128,223,variant
52,53,212,variant
53,140,203,variant
54,133,225,variant
55,218,205,baseline
56,213,200,baseline
57,233,135,baseline
58,216,78,baseline
59,190,214,variant
60,208,140,baseline
61,219,199,baseline
62,164,217,variant
63,206,214,variant
64,176,222,variant
65,61,201,variant
66,83,200,variant
67,185,204,variant
68,228,197,baseline
69,232,212,baseline
70,219,96,baseline
71,81,200,variant
72,221,183,baseline
73,109,208,variant
74,203,228,variant
75,179,200,variant
76,211,150,baseline
77,206,196,baseline
78,242,144,baseline
79,183,201,variant
80,200,186,baseline
81,100,203,variant
82,209,142,baseline
83,150,219,variant
84,201,198,baseline
85,119,228,variant
86,154,205,variant
87,133,213,variant
88,166,201,variant
89,224,220,baseline
90,114,217,variant
91,128,204,variant
92,127,212,variant
93,144,206,variant
94,232,197,baseline
95,144,203,variant
96,228,146,baseline
97,133,227,variant
98,213,201,baseline
99,130,202,variant
100,215,194,baseline
101,75,228,variant
102,162,210,variant
103,235,200,baseline
104,228,178,baseline
105,72,200,variant
106,142,211,variant
107,233,91,baseline
108,182,224,variant
109,205,108,baseline
110,213,125,baseline
111,126,206,variant
112,111,219,variant
113,73,212,variant
114,150,229,variant
115,248,147,baseline
116,155,217,variant
117,105,210,variant
118,201,189,baseline
119,227,191,baseline
120,131,208,variant
121,209,163,baseline
122,222,194,baseline
123,158,208,variant
124,217,115,baseline
125,134,201,variant
126,120,208,variant
127,153,209,variant
128,151,217,variant
129,207,110,baseline
130,212,118,baseline
131,183,203,variant
132,49,201,variant
133,136,216,variant
134,98,210,variant
135,204,195,baseline
136,205,215,variant
137,206,179,baseline
138,220,148,baseline
139,200,212,variant
140,164,230,variant
141,200,104,baseline
142,54,206,variant
143,222,121,baseline
144,196,209,variant
145,172,203,variant
146,174,206,variant
147,212,199,baseline
148,222,221,baseline
149,190,207,variant
150,128,203,variant
151,141,205,variant
152,230,221,baseline
153,106,214,variant
154,221,132,baseline
155,157,218,variant
156,215,161,baseline
157,200,192,baseline
158,213,143,baseline
159,217,181,baseline
160,187,228,variant
161,132,225,variant
162,98,223,variant
163,157,208,variant
164,135,208,variant
165,181,208,variant
166,107,206,variant
167,178,205,variant
168,165,228,variant
169,201,184,baseline
170,205,83,baseline
171,217,179,baseline
172,224,191,baseline
173,221,145,baseline
174,73,203,variant
